,Close,Oil Close,Gold Close,daily_increase
2011-03-01,0.9202,99.63,$1602.90,25600.0
2011-03-02,0.9399,102.27,$1609.40,25600.0
2011-03-03,0.9391,101.92,$1588.10,25600.0
2011-03-04,0.901,104.34,$1600.30,25650.0
2011-03-05,0.9103,104.34,$1600.30,25650.0
2011-03-06,0.8999,104.34,$1600.30,25600.0
2011-03-07,0.885,105.37,$1606.20,25600.0
2011-03-08,0.87,105.06,$1598.90,25650.0
2011-03-09,0.8645,104.39,$1601.30,25650.0
2011-03-10,0.9329,102.73,$1584.20,25650.0
2011-03-11,0.88,101.14,$1593.50,25650.0
2011-03-12,0.918,101.14,$1593.50,25750.0
2011-03-13,0.8925,101.14,$1593.50,25750.0
2011-03-14,0.8949,101.2,$1596.60,25750.0
2011-03-15,0.87,97.23,$1564.50,25750.0
2011-03-16,0.86,97.99,$1567.80,25650.0
2011-03-17,0.8254,101.47,$1575.90,25650.0
2011-03-18,0.8165,101.06,$1587.80,25650.0
2011-03-19,0.765,101.06,$1587.80,25650.0
2011-03-20,0.7411,101.06,$1587.80,25700.0
2011-03-21,0.759,102.36,$1598.10,25700.0
2011-03-22,0.809,104.53,$1599.30,25700.0
2011-03-23,0.8497,105.21,$1609.70,25700.0
2011-03-24,0.8669,105.04,$1606.60,25750.0
2011-03-25,0.8838,104.89,$1597.90,25750.0
2011-03-26,0.8552,104.89,$1597.90,25750.0
2011-03-27,0.82,104.89,$1597.90,25800.0
2011-03-28,0.799,103.54,$1591.60,25800.0
2011-03-29,0.7925,104.34,$1587.90,25800.0
2011-03-30,0.7897,103.8,$1595.50,25800.0
2011-03-31,0.7846,106.19,$1610.60,25600.0
2011-04-01,0.7741,107.55,$1599.80,25600.0
2011-04-02,0.782,107.55,$1599.80,26100.0
2011-04-03,0.779,107.55,$1599.80,26100.0
2011-04-04,0.68,108.14,$1603.90,26100.0
2011-04-05,0.71,107.82,$1623.40,26566.666666666977
2011-04-06,0.74,108.38,$1629.40,26566.666666666977
2011-04-07,0.7538,109.82,$1630.20,26566.666666666977
2011-04-08,0.75,112.27,$1645.00,26566.666666666977
2011-04-09,0.73,112.27,$1645.00,25733.333333333023
2011-04-10,0.7369,112.27,$1645.00,25733.333333333023
2011-04-11,0.77,109.5,$1639.00,25733.333333333023
2011-04-12,0.86,105.75,$1624.50,25750.0
2011-04-13,0.9225,106.6,$1626.50,25750.0
2011-04-14,1.0,107.73,$1643.30,25750.0
2011-04-15,0.9899,109.17,$1656.90,25550.0
2011-04-16,1.0499,109.17,$1656.90,25550.0
2011-04-17,1.1123,109.17,$1656.90,25550.0
2011-04-18,1.162,106.7,$1663.80,25800.0
2011-04-19,1.1979,107.18,$1666.00,25800.0
2011-04-20,1.1421,110.84,$1669.80,25800.0
2011-04-21,1.21,111.72,$1674.70,25500.0
2011-04-22,1.409,111.72,$1674.70,25500.0
2011-04-23,1.7001,111.72,$1674.70,25500.0
2011-04-24,1.6301,111.72,$1674.70,25566.666666666977
2011-04-25,1.559,111.68,$1680.00,25566.666666666977
2011-04-26,1.7949,111.72,$1674.40,25566.666666666977
2011-04-27,1.9,112.31,$1688.00,25583.333333333023
2011-04-28,2.2106,112.38,$1702.10,25583.333333333023
2011-04-29,2.88,113.39,$1727.30,25583.333333333023
2011-04-30,3.5,113.39,$1727.30,25500.0
2011-05-01,3.0331,113.39,$1727.30,25500.0
2011-05-02,3.2,113.03,$1728.00,25500.0
2011-05-03,3.41,110.6,$1711.30,25650.0
2011-05-04,3.4061,108.79,$1686.20,25650.0
2011-05-05,3.333,99.89,$1652.30,25700.0
2011-05-06,3.45,96.87,$1662.50,25700.0
2011-05-07,3.641,96.87,$1662.50,25600.0
2011-05-08,3.8659,96.87,$1662.50,25600.0
2011-05-09,3.8,100.32,$1674.10,25600.0
2011-05-10,5.81,103.39,$1687.80,25800.0
2011-05-11,5.5,97.88,$1672.30,25800.0
2011-05-12,6.3002,98.53,$1677.70,25800.0
2011-05-13,8.198,99.21,$1664.50,25677.083333333023
2011-05-14,7.1977,99.21,$1664.50,25677.083333333023
2011-05-15,6.987,99.21,$1664.50,25522.916666666977
2011-05-16,8.0339,96.91,$1661.50,25522.916666666977
2011-05-17,7.19,96.4,$1650.90,25550.0
2011-05-18,6.88,99.52,$1666.70,25550.0
2011-05-19,6.805,97.99,$1663.30,25600.0
2011-05-20,5.5904,99.15,$1679.80,25600.0
2011-05-21,6.1197,99.15,$1679.80,25700.0
2011-05-22,6.6901,99.15,$1679.80,25700.0
2011-05-23,7.1499,97.06,$1686.30,25600.0
2011-05-24,7.42,99.13,$1694.20,25600.0
2011-05-25,8.3997,100.78,$1697.60,25600.0
2011-05-26,8.798,100.18,$1693.70,25600.0
2011-05-27,8.5002,100.58,$1707.20,25550.0
2011-05-28,8.3001,100.58,$1707.20,25550.0
2011-05-29,8.4299,100.58,$1707.20,25550.0
2011-05-30,8.8,100.58,$1707.20,25600.0
2011-05-31,8.741,102.7,$1706.80,25600.0
2011-06-01,9.57,100.3,$1713.30,25600.0
2011-06-02,10.6,100.41,$1702.90,25650.0
2011-06-03,14.29,100.28,$1712.60,25650.0
2011-06-04,18.89,100.28,$1712.60,25650.0
2011-06-05,16.7,100.28,$1712.60,25550.0
2011-06-06,18.5499,99.07,$1717.40,25550.0
2011-06-07,23.9234,99.18,$1714.20,25600.0
2011-06-08,29.6,100.77,$1708.90,25600.0
2011-06-09,28.919,101.95,$1712.90,25600.0
2011-06-10,23.9497,99.3,$1699.40,25550.0
2011-06-11,14.6511,99.3,$1699.40,25550.0
2011-06-12,18.5464,99.3,$1699.40,25500.0
2011-06-13,19.84,97.2,$1685.80,25500.0
2011-06-14,19.28,99.37,$1694.60,25600.0
2011-06-15,19.49,94.83,$1696.40,25600.0
2011-06-16,17.0,94.95,$1700.10,25550.0
2011-06-17,15.681,93.02,$1709.30,25550.0
2011-06-18,16.89,93.02,$1709.30,25550.0
2011-06-19,17.51,93.02,$1709.30,25500.0
2011-06-20,17.51,93.23,$1712.20,25500.0
2011-06-21,17.51,93.7,$1716.60,25500.0
2011-06-22,17.51,94.96,$1723.60,25500.0
2011-06-23,17.51,90.7,$1690.70,25800.0
2011-06-24,17.51,90.89,$1671.10,25800.0
2011-06-25,17.51,90.89,$1671.10,25800.0
2011-06-26,16.45,90.89,$1671.10,25500.0
2011-06-27,16.75,90.65,$1666.60,25500.0
2011-06-28,16.9498,92.9,$1670.40,25500.0
2011-06-29,16.845,94.85,$1680.60,25500.0
2011-06-30,16.101,95.3,$1673.00,25500.0
2011-07-01,15.397,94.81,$1652.80,25500.0
2011-07-02,15.4,94.81,$1652.80,25550.0
2011-07-03,15.4405,94.81,$1652.80,25550.0
2011-07-04,13.86,94.81,$1652.80,25550.0
2011-07-05,12.9069,96.92,$1682.90,25550.0
2011-07-06,14.7835,96.67,$1699.40,25550.0
2011-07-07,14.7761,98.7,$1700.80,25550.0
2011-07-08,14.314,96.2,$1711.80,25500.0
2011-07-09,14.38,96.2,$1711.80,25500.0
2011-07-10,14.9,96.2,$1711.80,25500.0
2011-07-11,14.2091,95.16,$1719.40,25500.0
2011-07-12,14.0094,97.41,$1732.50,25500.0
2011-07-13,13.951,98.04,$1755.70,25500.0
2011-07-14,13.99,95.75,$1759.50,25500.0
2011-07-15,13.81,97.24,$1760.30,25550.0
2011-07-16,13.7191,97.24,$1760.30,25550.0
2011-07-17,13.16,97.24,$1760.30,25550.0
2011-07-18,13.48,95.94,$1772.60,25600.0
2011-07-19,13.8502,97.49,$1771.30,25600.0
2011-07-20,13.6894,98.11,$1767.10,25600.0
2011-07-21,13.61,98.96,$1757.20,25550.0
2011-07-22,13.6954,99.53,$1771.70,25550.0
2011-07-23,13.68,99.53,$1771.70,25550.0
2011-07-24,13.98,99.53,$1771.70,25550.0
2011-07-25,14.0478,98.97,$1782.40,25500.0
2011-07-26,13.8821,99.61,$1787.00,25500.0
2011-07-27,13.9394,97.4,$1785.30,25500.0
2011-07-28,13.4901,97.48,$1783.60,25600.0
2011-07-29,13.4983,95.68,$1798.50,25600.0
2011-07-30,13.5303,95.68,$1798.50,25600.0
2011-07-31,13.35,95.68,$1798.50,25750.0
2011-08-01,13.0946,94.98,$1789.20,25750.0
2011-08-02,12.05,93.78,$1812.00,25750.0
2011-08-03,9.26,91.87,$1833.80,25800.0
2011-08-04,10.75,86.75,$1826.50,25800.0
2011-08-05,9.7999,86.89,$1819.30,25800.0
2011-08-06,6.55,86.89,$1819.30,25800.0
2011-08-07,7.9,86.89,$1819.30,25800.0
2011-08-08,7.7999,81.27,$1880.70,25800.0
2011-08-09,9.99,79.32,$1910.50,25800.0
2011-08-10,9.98,83.05,$1951.80,25950.0
2011-08-11,9.4625,85.48,$1919.00,25950.0
2011-08-12,9.4605,85.19,$1910.10,25950.0
2011-08-13,10.131,85.19,$1910.10,25950.0
2011-08-14,10.7957,85.19,$1910.10,26508.333333333023
2011-08-15,11.1498,87.88,$1925.50,26508.333333333023
2011-08-16,10.9641,86.65,$1952.50,26508.333333333023
2011-08-17,10.9456,87.58,$1961.30,26508.333333333023
2011-08-18,10.83,82.38,$1989.50,26095.833333333954
2011-08-19,11.65,82.33,$2019.70,26095.833333333954
2011-08-20,11.453,82.33,$2019.70,26095.833333333954
2011-08-21,11.3113,82.33,$2019.70,26095.833333333954
2011-08-22,10.895,84.42,$2059.40,26545.833333333023
2011-08-23,10.94,85.35,$2028.80,26545.833333333023
2011-08-24,10.8506,84.99,$1924.80,26545.833333333023
2011-08-25,9.657,85.15,$1930.70,26297.916666666977
2011-08-26,8.1794,85.37,$1964.80,26297.916666666977
2011-08-27,8.5902,85.37,$1964.80,26297.916666666977
2011-08-28,9.0701,85.37,$1964.80,26297.916666666977
2011-08-29,8.969,87.27,$1959.10,25652.083333333023
2011-08-30,8.7913,88.9,$1997.30,25652.083333333023
2011-08-31,8.1995,88.81,$1999.20,25652.083333333023
2011-09-01,8.21,88.93,$1996.60,25652.083333333023
2011-09-02,8.64,86.45,$2044.40,25947.916666666977
2011-09-03,8.48,86.45,$2044.40,25947.916666666977
2011-09-04,8.178,86.45,$2044.40,25947.916666666977
2011-09-05,7.611,86.45,$2044.40,25902.083333333023
2011-09-06,6.8628,85.99,$2040.80,25902.083333333023
2011-09-07,7.1864,89.34,$1985.10,25902.083333333023
2011-09-08,6.53,89.05,$2025.00,25902.083333333023
2011-09-09,5.03,87.24,$2027.00,26300.0
2011-09-10,4.7739,87.24,$2027.00,26300.0
2011-09-11,5.8644,87.24,$2027.00,26300.0
2011-09-12,6.078,88.19,$1980.80,26300.0
2011-09-13,5.8,90.21,$1997.60,26158.333333333023
2011-09-14,5.6193,88.91,$1994.00,26158.333333333023
2011-09-15,4.84,89.4,$1948.90,26158.333333333023
2011-09-16,4.82,87.96,$1982.20,26158.333333333023
2011-09-17,4.77,87.96,$1982.20,26552.083333333954
2011-09-18,5.2,87.96,$1982.20,26552.083333333954
2011-09-19,5.46,85.7,$1946.40,26552.083333333954
2011-09-20,6.1119,86.92,$1976.60,26552.083333333954
2011-09-21,5.6114,85.77,$1975.60,25970.833333333023
2011-09-22,5.4278,80.29,$1909.20,25970.833333333023
2011-09-23,5.5451,79.58,$1807.30,25970.833333333023
2011-09-24,5.4683,79.58,$1807.30,25968.75
2011-09-25,5.33,79.58,$1807.30,25968.75
2011-09-26,4.8697,79.97,$1762.30,25968.75
2011-09-27,4.9156,84.18,$1820.00,25968.75
2011-09-28,4.7725,80.94,$1785.60,26000.0
2011-09-29,4.7794,81.87,$1784.80,26000.0
2011-09-30,5.1401,78.93,$1789.80,26000.0
2011-10-01,5.0324,78.93,$1789.80,26000.0
2011-10-02,5.027,78.93,$1789.80,25850.0
2011-10-03,5.024,77.34,$1825.20,25850.0
2011-10-04,4.96,75.4,$1783.50,25850.0
2011-10-05,4.87,79.41,$1809.10,25850.0
2011-10-06,4.7344,82.32,$1820.70,26200.0
2011-10-07,4.2728,82.7,$1803.30,26200.0
2011-10-08,4.0075,82.7,$1803.30,26200.0
2011-10-09,4.1029,82.7,$1803.30,26200.0
2011-10-10,4.1,85.14,$1838.30,26350.0
2011-10-11,3.9308,85.54,$1828.50,26350.0
2011-10-12,4.15,85.3,$1850.10,26350.0
2011-10-13,4.0462,83.96,$1836.00,26350.0
2011-10-14,3.9879,86.8,$1850.50,26350.0
2011-10-15,3.8421,86.8,$1850.50,26150.0
2011-10-16,3.557,86.8,$1850.50,26150.0
2011-10-17,2.56,86.38,$1844.10,26150.0
2011-10-18,2.419,88.34,$1820.30,26150.0
2011-10-19,2.27,86.11,$1814.50,26050.0
2011-10-20,2.348,86.07,$1780.40,26050.0
2011-10-21,2.57,87.19,$1803.60,26050.0
2011-10-22,3.1588,87.19,$1803.60,26050.0
2011-10-23,3.17,87.19,$1803.60,26050.0
2011-10-24,2.545,91.12,$1819.80,25750.0
2011-10-25,2.77,92.98,$1867.90,25750.0
2011-10-26,2.773,90.2,$1891.00,25750.0
2011-10-27,3.04,93.96,$1915.20,25750.0
2011-10-28,3.19,93.32,$1914.70,25700.0
2011-10-29,3.5811,93.32,$1914.70,25700.0
2011-10-30,3.27,93.32,$1914.70,25700.0
2011-10-31,3.248,93.19,$1892.70,25700.0
2011-11-01,3.15,92.19,$1879.30,25710.416666666977
2011-11-02,3.2543,92.51,$1897.10,25710.416666666977
2011-11-03,3.152,94.07,$1932.60,25710.416666666977
2011-11-04,3.109,94.26,$1923.60,25710.416666666977
2011-11-05,2.97,94.26,$1923.60,25858.333333333023
2011-11-06,2.9596,94.26,$1923.60,25858.333333333023
2011-11-07,3.0068,95.52,$1958.60,25858.333333333023
2011-11-08,3.035,96.8,$1966.70,25858.333333333023
2011-11-09,2.95,95.74,$1959.10,26797.916666666977
2011-11-10,2.8399,97.78,$1927.10,26797.916666666977
2011-11-11,3.08,98.99,$1955.60,26797.916666666977
2011-11-12,3.031,98.99,$1955.60,27066.66666666605
2011-11-13,2.9969,98.99,$1955.60,27066.66666666605
2011-11-14,2.22,98.14,$1945.90,27066.66666666605
2011-11-15,2.329,99.37,$1949.70,27066.66666666605
2011-11-16,2.5604,102.59,$1941.80,26116.666666666977
2011-11-17,2.25,98.82,$1887.70,26116.666666666977
2011-11-18,2.05,97.67,$1892.60,26116.666666666977
2011-11-19,2.1959,97.67,$1892.60,26116.666666666977
2011-11-20,2.2,97.67,$1892.60,25500.0
2011-11-21,2.294,96.73,$1846.10,25500.0
2011-11-22,2.3289,97.76,$1869.90,25500.0
2011-11-23,2.3321,96.16,$1863.40,25500.0
2011-11-24,2.4321,96.16,$1863.40,26900.0
2011-11-25,2.5061,96.91,$1853.20,26900.0
2011-11-26,2.47,96.91,$1853.20,26900.0
2011-11-27,2.4799,96.91,$1853.20,26900.0
2011-11-28,2.55,98.21,$1878.30,25850.0
2011-11-29,2.7502,99.79,$1880.90,25850.0
2011-11-30,2.9701,100.36,$1913.00,25850.0
2011-12-01,3.06,100.2,$1902.80,25850.0
2011-12-02,3.1151,100.97,$1914.50,28250.0
2011-12-03,2.794,100.97,$1914.50,28250.0
2011-12-04,2.8281,100.97,$1914.50,28250.0
2011-12-05,2.8798,100.94,$1897.70,27812.5
2011-12-06,3.03,101.25,$1895.00,27812.5
2011-12-07,2.99,100.45,$1908.00,27812.5
2011-12-08,2.98,98.35,$1876.60,27812.5
2011-12-09,2.97,99.4,$1880.00,27237.5
2011-12-10,3.05,99.4,$1880.00,27237.5
2011-12-11,3.2511,99.4,$1880.00,27237.5
2011-12-12,3.135,97.77,$1831.40,27237.5
2011-12-13,3.2499,100.24,$1826.30,26250.0
